Type,Identification,Field,Locale,Market,Status,Default content,Translated content
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_rGwwFc.richtext_3JEnrE.content:19d2bxf58c74q,pt-PT,,,"<p><strong>Our science is not developed in an isolated laboratory.</strong> It is forged and refined at the heart of our practice in Nuno Nina's Clinic in Lisbon. <strong>For over two decades, Nuno Nina has worked directly with tens of thousands of clients, </strong>observing patterns, pioneering protocols, and witnessing the profound impact of cutting-edge wellness technologies firsthand.</p><p>This continuous, <strong>real-world feedback loop is our greatest asset. </strong>The invaluable insights gained from genuine human interaction are the catalyst for our product development. It’s how we ensure that every CellPowerX formulation and device is not only innovative but also <strong>grounded in practical application and proven efficacy.</strong></p>","<p><strong>A nossa ciência não é desenvolvida num laboratório isolado.</strong> É forjada e aperfeiçoada no coração da nossa prática na Clínica Nuno Nina, em Lisboa. <strong>Ao longo de mais de duas décadas, Nuno Nina trabalhou diretamente com dezenas de milhares de clientes, </strong>observando padrões, desenvolvendo protocolos pioneiros e testemunhando em primeira mão o profundo impacto das tecnologias de bem-estar de ponta.</p><p>Este <strong>ciclo</strong> contínuo <strong>de feedback do</strong> <strong>mundo real é o nosso maior trunfo. </strong>Os insights inestimáveis obtidos a partir da interação humana genuína são o catalisador para o desenvolvimento dos nossos produtos. É assim que garantimos que todas as formulações e dispositivos CellPowerX não são apenas inovadores, mas também <strong>baseados em aplicações práticas e eficácia comprovada.</strong></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_xdK3nJ.subheading:2kbooo4fgwdgr,pt-PT,,,CellPowerX Founder Nuno Nina,"Fundador da CellPowerX, Nuno Nina"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_xdK3nJ.title:5mow59e36fmv,pt-PT,,,The Mind Behind the Method,A mente por trás do método
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_xdK3nJ.content:2wz9fbd61gmsu,pt-PT,,,"<p>Nuno Nina is the founder and chief visionary of CellPowerX. His life's work is defined by a unique duality: he is both a dedicated practitioner and a pioneering inventor. With over two decades of clinical experience, informed by <strong>more than 70,000 client journeys</strong>, Nuno has developed a <strong>profound understanding</strong> of what the human body truly needs to achieve optimal function.</p><p>This deep, real-world insight is the catalyst for every CellPowerX innovation, <strong>bridging the gap between hands-on application and the frontiers of biophysical science.</strong></p>","<p>Nuno Nina é o fundador e principal visionário da CellPowerX. O trabalho da sua vida é definido por uma dualidade única: ele é um profissional dedicado e um inventor pioneiro. Com mais de duas décadas de experiência clínica, informada por <strong>mais de 70.000 jornadas de clientes</strong>, Nuno desenvolveu uma <strong>compreensão profunda</strong> do que o corpo humano realmente necessita para atingir o seu funcionamento ideal.</p><p>Esta visão profunda e realista é o catalisador de todas as inovações da CellPowerX, <strong>colmatando a lacuna entre a aplicação prática e as fronteiras da ciência biofísica.</strong></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_qr9eGt.subheading:9kbr4ufodxvr,pt-PT,,,CellPowerX Co-Founder | Nuno Nina,Co-fundador da CellPowerX | Nuno Nina
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_qr9eGt.title:2pcpjmnkjl6vf,pt-PT,,,Creator of ACTYVA,Criador da ACTYVA
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_FLhzM7.image_qr9eGt.content:1sa5ic9wspmpu,pt-PT,,,"<p>Nuno Nina is a pioneer in bioelectromagnetic and bioinformational medicine with over 20 years of clinical experience and more than 70,000 client journeys worldwide.<br/>Combining backgrounds in Mathematics, Systems Engineering, and Biochemistry, he bridges science and technology to create innovative wellness solutions - including pioneering work in molecular hydrogen and biofrequency technology.</p>","<p>Nuno Nina é um pioneiro na medicina bioeletromagnética e bioinformacional, com mais de 20 anos de experiência clínica e mais de 70.000 clientes em todo o mundo.<br/>Combinando conhecimentos em Matemática, Engenharia de Sistemas e Bioquímica, ele une ciência e tecnologia para criar soluções inovadoras de bem-estar, incluindo trabalhos pioneiros em hidrogénio molecular e tecnologia de biofrequência.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_THxg4A.heading_GFimAn.text:35fmw064qlt1e,pt-PT,,,Guided by Leading Expertise.,Orientado por conhecimentos especializados de ponta.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_THxg4A.richtext_YMdCfQ.content:38m23vtsahi2l,pt-PT,,,"<p>To ensure we remain at the forefront of innovation, our independent Scientific Advisory Board validates our research, holding us to the highest scientific standards.</p>","<p>Para garantir que permanecemos na vanguarda da inovação, o nosso Conselho Consultivo Científico independente valida a nossa investigação, mantendo-nos nos mais elevados padrões científicos.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_6MFjMN.image_nxCraE.subheading:c7tfvp9ljepq,pt-PT,,,"Professor Pedro Vaz, PhD FRSC","Professor Pedro Vaz, PhD FRSC"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_6MFjMN.image_nxCraE.title:2tachr03nrt1u,pt-PT,,,Scientific Advisor,Consultor Científico
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_6MFjMN.image_nxCraE.content:46895oz4610b,pt-PT,,,"<p>Professor Vaz is a leading authority in the application of physics to life sciences. He is a senior researcher in the Lung Cancer Unit at the Champalimaud Foundation, a world-renowned center recognized for its pioneering work in cancer research and clinical care. His extensive research in radiation physics, dosimetry, and the medical applications of ionizing radiation provides invaluable expertise to our mission. With over 100 publications and numerous international appointments, including at the ISIS Neutron Facility, UK, his guidance ensures our technological innovation is grounded in the highest standards of scientific rigor and safety.</p>","<p>O Professor Vaz é uma autoridade líder na aplicação da física às ciências da vida. É investigador sénior na Unidade de Cancro do Pulmão da Fundação Champalimaud, um centro de renome mundial reconhecido pelo seu trabalho pioneiro na investigação do cancro e nos cuidados clínicos. A sua extensa investigação em física da radiação, dosimetria e aplicações médicas da radiação ionizante proporciona conhecimentos especializados inestimáveis para a nossa missão. Com mais de 100 publicações e inúmeras nomeações internacionais, incluindo na ISIS Neutron Facility, no Reino Unido, a sua orientação garante que a nossa inovação tecnológica se baseia nos mais elevados padrões de rigor científico e segurança.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_pxXLrN.image_qN3F9J.subheading:37qu6e6mhs2i8,pt-PT,,,"M.Graça Pereira, PhD",Dra. Graça Pereira
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_pxXLrN.image_qN3F9J.title:1cg87ih3ef064,pt-PT,,,SCIENTIFIC ADVISOR,CONSULTOR CIENTÍFICO
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_pxXLrN.image_qN3F9J.content:1uls6hccuw1g5,pt-PT,,,"<p>Professor M. Graça Pereira is a senior university professor and internationally recognised researcher in Clinical and Health Psychology at the University of Minho, where she coordinates the Health, Well-being, and Performance Research Lab. Her distinguished academic and scientific career focuses on psychological processes related to quality of life, adaptation to chronic illness, health promotion, and well-being across clinical and community contexts. She has led multiple competitive research projects and authored over 300 peer-reviewed journal articles, in addition to numerous book chapters and several books in the field. Professor Pereira’s work is characterised by strong methodological rigour, an interdisciplinary perspective, and a clear translational focus, making a significant contribution to evidence-based practice in health and well-being.</p>","<p>A Professora M. Graça Pereira é professora universitária sénior e investigadora internacionalmente reconhecida em Psicologia Clínica e da Saúde na Universidade do Minho, onde coordena o Laboratório de Investigação em Saúde, Bem-estar e Desempenho. A sua distinta carreira académica e científica centra-se nos processos psicológicos relacionados com a qualidade de vida, adaptação a doenças crónicas, promoção da saúde e bem-estar em contextos clínicos e comunitários. Liderou vários projetos de investigação competitivos e é autora de mais de 300 artigos em revistas científicas, além de inúmeros capítulos de livros e vários livros na área. O trabalho da professora Pereira caracteriza-se por um forte rigor metodológico, uma perspetiva interdisciplinar e um claro enfoque translacional, contribuindo significativamente para a prática baseada em evidências na área da saúde e do bem-estar.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_h9LRJK.image_WXcXrD.subheading:23f8911wabz2d,pt-PT,,,"Dr. João Paulo de Almeida, MD","Dr. João Paulo de Almeida, Médico"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_h9LRJK.image_WXcXrD.title:2a9e245badop5,pt-PT,,,SCIENTIFIC ADVISOR,CONSULTOR CIENTÍFICO
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.media_with_text_h9LRJK.image_WXcXrD.content:qea00dezr1j4,pt-PT,,,"<p>Dr. de Almeida is a distinguished physician specializing in Clinical Pathology and Sports Medicine, with a career spanning decades at the highest levels of international sport and clinical excellence.<br/>He served as the official physician of the Portuguese Olympic delegation in eight Olympic Games and as the official medical representative of the International Modern Pentathlon Union (UIPM). Formerly the Director of the Lisbon Sports Medicine Center, team physician for the Portuguese Football Federation, and Medical Director of Sport Lisboa e Benfica, Dr. de Almeida brings a unique blend of medical, scientific, and performance expertise to our mission.</p>","<p>O Dr. de Almeida é um médico distinto, especializado em Patologia Clínica e Medicina Desportiva, com uma carreira de décadas nos mais altos níveis do desporto internacional e da excelência clínica.<br/>Foi médico oficial da delegação olímpica portuguesa em oito Jogos Olímpicos e representante médico oficial da União Internacional de Pentatlo Moderno (UIPM). Ex-diretor do Centro de Medicina Desportiva de Lisboa, médico da equipa da Federação Portuguesa de Futebol e diretor médico do Sport Lisboa e Benfica, o Dr. de Almeida traz uma combinação única de conhecimentos médicos, científicos e de desempenho à nossa missão.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_PaARmH.heading_XXAxbX.text:2p5fvzum09uze,pt-PT,,,Technological Principles & Supporting Research.,Princípios tecnológicos e investigação de apoio.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_PaARmH.richtext_bUeJUL.content:1vckgp7ybzvm1,pt-PT,,,<p>The efficacy of our core technologies is rooted in established scientific theories. We translate peer-reviewed research and decades of clinical data into tangible outcomes.</p>,<p>A eficácia das nossas tecnologias principais está fundamentada em teorias científicas comprovadas. Transformamos pesquisas revisadas por pares e décadas de dados clínicos em resultados tangíveis.</p>
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_YVk9XU.heading_XLgPKc.text:1f6m3jmjoc97p,pt-PT,,,The first AI-assisted bioactivation technology designed for CellPower shots.,A primeira tecnologia de bioativação assistida por IA projetada para as injeções CellPower.
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.rich_text_YVk9XU.richtext_JJcYJt.content:dqd2c6j211ej,pt-PT,,,"<p>NEXAI™ is a proprietary intelligence system that merges Artificial Intelligence with Nuno Nina's two decades of real clinical data. It analyzes anonymized data patterns from over 70,000 client profiles to identify the most effective synergies between bioactive compounds.</p><p>Rather than simply combining ingredients, NEXAI™ designs intelligent formulations -optimized to interact with the human body in a more efficient and precise way.</p><p>But NEXAI™ goes even further.<br/><br/>Each formula is activated only at the moment of consumption through a process of biophotonic activation. This light-based interaction temporarily reorganizes the molecular structure of the liquid, enhancing both absorption and bioefficacy.</p><p>The result?<br/><br/>CellPower shots with integrated intelligence - formulas that not only support well-being, but adapt to the exact moment when your body needs them most.</p>","<p>NEXAI™ é um sistema de inteligência proprietário que combina Inteligência Artificial com duas décadas de dados clínicos reais de Nuno Nina. Ele analisa padrões de dados anónimos de mais de 70.000 perfis de clientes para identificar as sinergias mais eficazes entre compostos bioativos.</p><p>Em vez de simplesmente combinar ingredientes, o NEXAI™ concebe formulações inteligentes, otimizadas para interagir com o corpo humano de forma mais eficiente e precisa.</p><p>Mas o NEXAI™ vai ainda mais longe.<br/><br/>Cada fórmula é ativada apenas no momento do consumo através de um processo de ativação biofotónica. Esta interação baseada na luz reorganiza temporariamente a estrutura molecular do líquido, melhorando tanto a absorção como a bioeficácia.</p><p>O resultado? Shots<br/><br/>CellPower com inteligência integrada — fórmulas que não apenas promovem o bem-estar, mas também se adaptam ao momento exato em que o seu corpo mais precisa delas.</p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.subheading:24gagj9mmxo4s,pt-PT,,,"Together, these findings support the concept of ACTYVA as a specific and silent photonic emitter capable of influencing water structure and supporting coherent vibrational patterns in liquid formulas.","Em conjunto, estas descobertas apoiam o conceito do ACTYVA como um emissor fotónico específico e silencioso, capaz de influenciar a estrutura da água e apoiar padrões vibracionais coerentes em fórmulas líquidas."
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.title:2uigydnkxiyo,pt-PT,,,Biophotonic Function,Função Biofotónica
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_3XDXXG.title:1w1gq2t9z9723,pt-PT,,,"Karu, T. (1998)","Karu, T. (1998)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_3XDXXG.content:2p95k1njvikky,pt-PT,,,"<p>Karu’s work provides a strong basis, demonstrating that light in the 400–820 nm range interacts directly with cytochrome c oxidase, increasing ATP production and promoting DNA repair. These mitochondrial responses support the hypothesis that calibrated photonic stimulation — as in ACTYVA — can actively support energy metabolism and regenerative processes at the time of consumption. <a href=""https://www.researchgate.net/publication/252217652_Mechanisms_of_low-power_laser_light_action_on_cellular_level"" target=""_blank"" title=""https://www.researchgate.net/publication/252217652_Mechanisms_of_low-power_laser_light_action_on_cellular_level"">Link</a></p>","<p>O trabalho de Karu fornece uma base sólida, demonstrando que a luz na faixa de 400–820 nm interage diretamente com a citocromo c oxidase, aumentando a produção de ATP e promovendo a reparação do ADN. Essas respostas mitocondriais apoiam a hipótese de que a estimulação fotónica calibrada — como na ACTYVA — pode apoiar ativamente o metabolismo energético e os processos regenerativos no momento do consumo. <a href=""https://www.researchgate.net/publication/252217652_Mechanisms_of_low-power_laser_light_action_on_cellular_level"" target=""_blank"" title=""https://www.researchgate.net/publication/252217652_Mechanisms_of_low-power_laser_light_action_on_cellular_level"">Link</a></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_G4YJYA.title:3plpqjfv9hkdn,pt-PT,,,"Pollack, G.H. (2013)","Pollack, G.H. (2013)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_G4YJYA.content:ih2dy200zbxe,pt-PT,,,"<p>Beyond mitochondria, the structural organization of water under light influence is another key aspect. Pollack demonstrated that water near hydrophilic surfaces forms quasicrystalline layers (EZ), which become thicker when exposed to infrared radiation. The expansion of these EZ structures suggests that photonic activation promotes a more coherent and energetically ordered aqueous phase, facilitating information transfer and cellular bioenergetics, aligning with ACTYVA’s objectives. <a href=""https://www.researchgate.net/publication/272756211_The_Fourth_Phase_of_Water_Beyond_Solid_Liquid_and_Vapor_By_Gerald_H_Pollack_Ebner_Sons_Publishers_2013_357_Pages_Price_US_2995_ISBN_978-0-9626895-4-3"" target=""_blank"" title=""https://www.researchgate.net/publication/272756211_The_Fourth_Phase_of_Water_Beyond_Solid_Liquid_and_Vapor_By_Gerald_H_Pollack_Ebner_Sons_Publishers_2013_357_Pages_Price_US_2995_ISBN_978-0-9626895-4-3"">Link</a></p>","<p>Além das mitocôndrias, a organização estrutural da água sob a influência da luz é outro aspeto fundamental. Pollack demonstrou que a água próxima de superfícies hidrofílicas forma camadas quase cristalinas (EZ), que se tornam mais espessas quando expostas à radiação infravermelha. A expansão dessas estruturas EZ sugere que a ativação fotónica promove uma fase aquosa mais coerente e energeticamente ordenada, facilitando a transferência de informação e a bioenergética celular, alinhando-se com os objetivos da ACTYVA. <a href=""https://www.researchgate.net/publication/272756211_The_Fourth_Phase_of_Water_Beyond_Solid_Liquid_and_Vapor_By_Gerald_H_Pollack_Ebner_Sons_Publishers_2013_357_Pages_Price_US_2995_ISBN_978-0-9626895-4-3"" target=""_blank"" title=""https://www.researchgate.net/publication/272756211_The_Fourth_Phase_of_Water_Beyond_Solid_Liquid_and_Vapor_By_Gerald_H_Pollack_Ebner_Sons_Publishers_2013_357_Pages_Price_US_2995_ISBN_978-0-9626895-4-3"">Link</a></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_GQKREH.title:3dtrh46nz6yq9,pt-PT,,,"Korotkov, K. (2017)","Korotkov, K. (2017)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_CNTVpf.tab_GQKREH.content:2fphk69omi0m0,pt-PT,,,"<p>Korotkov expanded this view by studying the effects of light across various wavelengths — from ultraviolet (energetic effects) to infrared (molecular effects) — highlighting the role of photonic microvibrations in the molecular organization of liquids. He also emphasized diagnostic methods such as Electrophotonic Imaging (EPI/GDV), capable of visualizing photonic emissions from liquids and tissues, confirming changes in their energetic and informational states. <a href=""https://www.amazon.com/Energy-Health-Understanding-Principles-Analysis-ebook/dp/B01N5Y5XWW"" title=""https://www.amazon.com/Energy-Health-Understanding-Principles-Analysis-ebook/dp/B01N5Y5XWW"">Link</a></p>","<p>Korotkov expandiu essa visão ao estudar os efeitos da luz em vários comprimentos de onda — do ultravioleta (efeitos energéticos) ao infravermelho (efeitos moleculares) — destacando o papel das microvibrações fotónicas na organização molecular dos líquidos. Ele também enfatizou métodos de diagnóstico como a Imagem Eletrofotónica (EPI/GDV), capaz de visualizar emissões fotónicas de líquidos e tecidos, confirmando mudanças nos seus estados energéticos e informativos. <a href=""https://www.amazon.com/Energy-Health-Understanding-Principles-Analysis-ebook/dp/B01N5Y5XWW"" title=""https://www.amazon.com/Energy-Health-Understanding-Principles-Analysis-ebook/dp/B01N5Y5XWW"">Link</a></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.subheading:21pznyk0k2f5x,pt-PT,,,"When a vial containing the HydroIRX™ formula is placed in ACTYVA’s calibrated photonic field, the light emission may induce — or help promote — a reorganized state of the HydroIRX™ matrix, consistent with the following models.","Quando um frasco contendo a fórmula HydroIRX™ é colocado no campo fotónico calibrado do ACTYVA, a emissão de luz pode induzir — ou ajudar a promover — um estado reorganizado da matriz HydroIRX™, consistente com os modelos a seguir."
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.title:d8brscw5d26h,pt-PT,,,The hydroIRX Process: Water & Light Science,O Processo hydroIRX: Ciência da Água e da Luz
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_8hXKJd.title:7m5s8gwm63hz,pt-PT,,,"Ling, G.N. (2001)","Ling, G.N. (2001)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_8hXKJd.content:oiz7yyew2eim,pt-PT,,,"<p>Inspired by Gilbert Ling’s Association-Induction Hypothesis, ACTYVA builds on the idea that water within living cells is not random, but structured around proteins in an organized, polarized state. Ling proposed that energy molecules like ATP can modulate these protein–water interactions, shaping the body’s internal terrain. In a similar way, ACTYVA’s calibrated photonic field acts as a light-based modulator, promoting molecular reorganization within the HydroIRX™ matrix to restore coherence and optimize bioinformational balance. <a href=""https://www.gilbertling.org/pdf/Life-at-the-cell-and-below-cell-level.pdf"" title=""https://www.gilbertling.org/pdf/Life-at-the-cell-and-below-cell-level.pdf"">Link</a></p>","<p>Inspirado na Hipótese de Indução por Associação de Gilbert Ling, o ACTYVA baseia-se na ideia de que a água dentro das células vivas não é aleatória, mas estruturada em torno de proteínas num estado organizado e polarizado. Ling propôs que moléculas energéticas como o ATP podem modular essas interações proteína-água, moldando o terreno interno do corpo. De forma semelhante, o campo fotónico calibrado da ACTYVA atua como um modulador baseado na luz, promovendo a reorganização molecular dentro da matriz HydroIRX™ para restaurar a coerência e otimizar o equilíbrio bioinformacional. <a href=""https://www.gilbertling.org/pdf/Life-at-the-cell-and-below-cell-level.pdf"" title=""https://www.gilbertling.org/pdf/Life-at-the-cell-and-below-cell-level.pdf"">Link</a></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_pm7eBh.title:2swmb6j9p5tun,pt-PT,,,"Ho, M.-W. (2012)","Ho, M.-W. (2012)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_pm7eBh.content:9ddm3m2692ty,pt-PT,,,"<p>Mae-Wan Ho proposed water as a coherent liquid crystal organizing living systems, capable of rapid communication and energy transfer. This complements Pollack’s concept, suggesting that photonic stimulation may enhance this liquid crystalline order, reinforcing the bioinformational terrain ACTYVA seeks to modulate. <a href=""https://www.researchgate.net/publication/255995998_Living_Rainbow_H2O"" title=""https://www.researchgate.net/publication/255995998_Living_Rainbow_H2O"">Link</a></p>","<p>Mae-Wan Ho propôs a água como um cristal líquido coerente que organiza os sistemas vivos, capaz de comunicação rápida e transferência de energia. Isso complementa o conceito de Pollack, sugerindo que a estimulação fotónica pode melhorar essa ordem cristalina líquida, reforçando o terreno bioinformacional que a ACTYVA procura modular. <a href=""https://www.researchgate.net/publication/255995998_Living_Rainbow_H2O"" title=""https://www.researchgate.net/publication/255995998_Living_Rainbow_H2O"">Link</a></p>"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_HRmyMr.title:2d8in31t22agb,pt-PT,,,"Messori, C. (2019)","Messori, C. (2019)"
ONLINE_STORE_THEME,182378103170,section.page.our-science.json.tabs_ktrxgb.tab_HRmyMr.content:17jxm7dbh7foi,pt-PT,,,"<p>Claudio Messori introduced the theory of superradiant coherent water clusters, describing how water can form stable and cooperative states that store and transmit information in a quasi-quantum fashion. Messori’s view implies that ordered photonic input — like that of ACTYVA — can synchronize or reinforce these coherent domains, optimizing the liquid’s molecular structure and its interface with biological systems. <a href=""https://www.researchgate.net/publication/331440182_The_Super-Coherent_State_of_Biological_Water"" title=""https://www.researchgate.net/publication/331440182_The_Super-Coherent_State_of_Biological_Water"">Link</a></p>","<p>Claudio Messori introduziu a teoria dos aglomerados de água coerentes superradiantes, descrevendo como a água pode formar estados estáveis e cooperativos que armazenam e transmitem informações de maneira quase quântica. A visão de Messori implica que a entrada fotónica ordenada — como a da ACTYVA — pode sincronizar ou reforçar esses domínios coerentes, otimizando a estrutura molecular do líquido e a sua interface com os sistemas biológicos. <a href=""https://www.researchgate.net/publication/331440182_The_Super-Coherent_State_of_Biological_Water"" title=""https://www.researchgate.net/publication/331440182_The_Super-Coherent_State_of_Biological_Water"">Link</a></p>"
