Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,185837555515778,value,pt-PT,,,<div></div>,
METAFIELD,185837555548546,value,pt-PT,,,"{""number_of_reviews"":1,""average_rating"":""5.00"",""number_of_questions"":0,""product_name"":""RESET SHOTS"",""product_external_id"":15106135589250,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/Shots_Reset_3.4_ed542fa2-c64b-4738-a0ae-0e2c3e2794a4.webp?v=1759502997"",""histogram"":[{""rating"":5,""frequency"":1,""percentage"":100,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""review_summary_text"":""Based on 1 review"",""ai_summary_text"":"""",""sort_key"":""created_at"",""multi_language_sorting_enabled"":true,""primary_language"":""en"",""primary_language_reviews"":[{""uuid"":""318fbfd0-aec6-42e1-9185-2a06b0f24b0b"",""title"":"""",""rating"":5,""body_html"":""<p>I’m loving the shots !   Getting better sleep and waking up rested</p>"",""body"":""I’m loving the shots !   Getting better sleep and waking up rested"",""verified_buyer"":true,""created_at"":""2026-02-18T19:15:41.532Z"",""reviewer_name"":""Johanna B."",""reviewer_initial"":""J"",""cf_answers"":[],""reply_content"":null,""pictures_urls"":[],""video_external_ids"":[],""thumb_up"":0,""thumb_down"":0,""location_country"":"""",""location_country_code"":"""",""location"":"""",""source"":null,""product_title"":""RESET SHOTS"",""encoded_product_id"":""Dj3LAKPE"",""encoded_shop_id"":""zWVXpXXD"",""is_shopify_lite"":false,""product_url"":""/products/shots-reset"",""product_url_with_utm"":""https://www.cellpowerx.com/products/shots-reset?jdgm_referral_location=widget&ref=judge.me&utm_campaign=judgeme-review-site&utm_medium=referral&utm_source=judgeme"",""product_in_store"":true,""product_variant_title"":"""",""profile_img_idx"":4,""avatar_image_url"":null,""gravatar_hash"":null,""media_platform_hosted_video_infos"":[],""country_code_show_flag"":null,""pinned"":null,""in_a_group"":false,""shop_reply_name"":""CellPowerX"",""transparency_badges"":[""review_collected_via_store_invitation""],""language"":""en"",""is_for_product_from_group"":false,""product_variant_image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/Shots_Reset_3.4_ed542fa2-c64b-4738-a0ae-0e2c3e2794a4.webp?v=1759502997"",""is_for_product_from_bundle"":false}],""primary_language_pagination"":{""total_pages"":1,""current_page"":1,""per_page"":5},""other_language_reviews"":[],""other_language_pagination"":{""total_pages"":0,""current_page"":1,""per_page"":3},""reviews"":[]}",
METAFIELD,185837555581314,value,pt-PT,,,<div style='display:none' class='jdgm-prev-badge' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0'> <span class='jdgm-prev-badge__stars' data-score='0.00' tabindex='0' aria-label='0.00 stars' role='button'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </span> <span class='jdgm-prev-badge__text'> No reviews </span> </div>,
METAFIELD,185837555614082,value,pt-PT,,,"<div class='jdgm-rev-widg' data-updated-at='2026-01-16T17:40:13Z' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0' data-image-url='https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_BALANCE_FRONT.webp?v=1758800700'> <style class='jdgm-temp-hiding-style'>.jdgm-rev-widg{ display: none }</style> <div class='jdgm-rev-widg__header'> <h2 class='jdgm-rev-widg__title'>Customer Reviews</h2>  <div class='jdgm-rev-widg__summary'> <div class='jdgm-rev-widg__summary-stars' aria-label='Average rating is 0.00 stars' role='img'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </div> <div class='jdgm-rev-widg__summary-text'>Be the first to write a review</div> </div> <a style='display: none' href='#' class='jdgm-write-rev-link' role='button'>Write a review</a> <div class='jdgm-histogram jdgm-temp-hidden'>  <div class='jdgm-histogram__row' data-rating='5' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 5 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='4' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 4 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='3' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 3 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='2' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 2 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='1' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 1 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row jdgm-histogram__clear-filter' data-rating=null tabindex='0'></div> </div>     <div class='jdgm-rev-widg__sort-wrapper'></div> </div> <div class='jdgm-rev-widg__body'>  <div class='jdgm-rev-widg__reviews'></div> <div class='jdgm-paginate' data-per-page='5' data-url='https://api.judge.me/reviews/reviews_for_widget' style=""display: none;""></div>  </div> <div class='jdgm-rev-widg__paginate-spinner-wrapper'> <div class='jdgm-spinner'></div> </div> </div>",
METAFIELD,185837555646850,value,pt-PT,,,"{""number_of_reviews"":0,""average_rating"":""0.00"",""number_of_questions"":0,""product_name"":""RESHAPE BALANCE"",""product_external_id"":15106108162434,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_BALANCE_FRONT.webp?v=1758800700"",""reviews"":[],""histogram"":[{""rating"":5,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""pagination"":{""total_pages"":0,""current_page"":1,""per_page"":5},""review_summary_text"":""Be the first to write a review"",""ai_summary_text"":"""",""sort_key"":""created_at""}",
METAFIELD,185837555679618,value,pt-PT,,,<div style='display:none' class='jdgm-prev-badge' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0'> <span class='jdgm-prev-badge__stars' data-score='0.00' tabindex='0' aria-label='0.00 stars' role='button'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </span> <span class='jdgm-prev-badge__text'> No reviews </span> </div>,
METAFIELD,185837555712386,value,pt-PT,,,"<div class='jdgm-rev-widg' data-updated-at='2026-01-16T17:40:13Z' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0' data-image-url='https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_REFOCUS_FRONT.webp?v=1758800454'> <style class='jdgm-temp-hiding-style'>.jdgm-rev-widg{ display: none }</style> <div class='jdgm-rev-widg__header'> <h2 class='jdgm-rev-widg__title'>Customer Reviews</h2>  <div class='jdgm-rev-widg__summary'> <div class='jdgm-rev-widg__summary-stars' aria-label='Average rating is 0.00 stars' role='img'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </div> <div class='jdgm-rev-widg__summary-text'>Be the first to write a review</div> </div> <a style='display: none' href='#' class='jdgm-write-rev-link' role='button'>Write a review</a> <div class='jdgm-histogram jdgm-temp-hidden'>  <div class='jdgm-histogram__row' data-rating='5' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 5 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='4' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 4 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='3' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 3 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='2' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 2 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='1' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 1 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row jdgm-histogram__clear-filter' data-rating=null tabindex='0'></div> </div>     <div class='jdgm-rev-widg__sort-wrapper'></div> </div> <div class='jdgm-rev-widg__body'>  <div class='jdgm-rev-widg__reviews'></div> <div class='jdgm-paginate' data-per-page='5' data-url='https://api.judge.me/reviews/reviews_for_widget' style=""display: none;""></div>  </div> <div class='jdgm-rev-widg__paginate-spinner-wrapper'> <div class='jdgm-spinner'></div> </div> </div>",
METAFIELD,185837555745154,value,pt-PT,,,"{""number_of_reviews"":0,""average_rating"":""0.00"",""number_of_questions"":0,""product_name"":""REFOCUS"",""product_external_id"":15106127856002,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_REFOCUS_FRONT.webp?v=1758800454"",""reviews"":[],""histogram"":[{""rating"":5,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""pagination"":{""total_pages"":0,""current_page"":1,""per_page"":5},""review_summary_text"":""Be the first to write a review"",""ai_summary_text"":"""",""sort_key"":""created_at""}",
METAFIELD,185837555777922,value,pt-PT,,,<div style='display:none' class='jdgm-prev-badge' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0'> <span class='jdgm-prev-badge__stars' data-score='0.00' tabindex='0' aria-label='0.00 stars' role='button'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </span> <span class='jdgm-prev-badge__text'> No reviews </span> </div>,
METAFIELD,185837555810690,value,pt-PT,,,"<div class='jdgm-rev-widg' data-updated-at='2026-01-16T17:40:13Z' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0' data-image-url='https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_REMETHYL_FRONT.webp?v=1758800995'> <style class='jdgm-temp-hiding-style'>.jdgm-rev-widg{ display: none }</style> <div class='jdgm-rev-widg__header'> <h2 class='jdgm-rev-widg__title'>Customer Reviews</h2>  <div class='jdgm-rev-widg__summary'> <div class='jdgm-rev-widg__summary-stars' aria-label='Average rating is 0.00 stars' role='img'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </div> <div class='jdgm-rev-widg__summary-text'>Be the first to write a review</div> </div> <a style='display: none' href='#' class='jdgm-write-rev-link' role='button'>Write a review</a> <div class='jdgm-histogram jdgm-temp-hidden'>  <div class='jdgm-histogram__row' data-rating='5' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 5 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='4' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 4 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='3' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 3 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='2' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 2 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row' data-rating='1' data-frequency='0' data-percentage='0'>  <div class='jdgm-histogram__star' role='button' aria-label=""0% (0) reviews with 1 star rating""  tabindex='0' ><span class='jdgm-star jdgm--on'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span></div> <div class='jdgm-histogram__bar'> <div class='jdgm-histogram__bar-content' style='width: 0%;'> </div> </div> <div class='jdgm-histogram__percentage'>0%</div> <div class='jdgm-histogram__frequency'>(0)</div> </div>  <div class='jdgm-histogram__row jdgm-histogram__clear-filter' data-rating=null tabindex='0'></div> </div>     <div class='jdgm-rev-widg__sort-wrapper'></div> </div> <div class='jdgm-rev-widg__body'>  <div class='jdgm-rev-widg__reviews'></div> <div class='jdgm-paginate' data-per-page='5' data-url='https://api.judge.me/reviews/reviews_for_widget' style=""display: none;""></div>  </div> <div class='jdgm-rev-widg__paginate-spinner-wrapper'> <div class='jdgm-spinner'></div> </div> </div>",
METAFIELD,185837555843458,value,pt-PT,,,"{""number_of_reviews"":0,""average_rating"":""0.00"",""number_of_questions"":0,""product_name"":""REMETHYL"",""product_external_id"":15106128806274,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/GUMMIES_REMETHYL_FRONT.webp?v=1758800995"",""reviews"":[],""histogram"":[{""rating"":5,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""pagination"":{""total_pages"":0,""current_page"":1,""per_page"":5},""review_summary_text"":""Be the first to write a review"",""ai_summary_text"":"""",""sort_key"":""created_at""}",
METAFIELD,185837555876226,value,pt-PT,,,"{""number_of_reviews"":1,""average_rating"":""5.00"",""number_of_questions"":0,""product_name"":""RHYTHM Bundle + ACTYVA"",""product_external_id"":15194840170882,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/RHYTHM2.webp?v=1759334129"",""histogram"":[{""rating"":5,""frequency"":1,""percentage"":100,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""review_summary_text"":""Based on 1 review"",""ai_summary_text"":"""",""sort_key"":""created_at"",""multi_language_sorting_enabled"":true,""primary_language"":""en"",""primary_language_reviews"":[{""uuid"":""318fbfd0-aec6-42e1-9185-2a06b0f24b0b"",""title"":"""",""rating"":5,""body_html"":""<p>I’m loving the shots !   Getting better sleep and waking up rested</p>"",""body"":""I’m loving the shots !   Getting better sleep and waking up rested"",""verified_buyer"":true,""created_at"":""2026-02-18T19:15:41.532Z"",""reviewer_name"":""Johanna B."",""reviewer_initial"":""J"",""cf_answers"":[],""reply_content"":null,""pictures_urls"":[],""video_external_ids"":[],""thumb_up"":0,""thumb_down"":0,""location_country"":"""",""location_country_code"":"""",""location"":"""",""source"":null,""product_title"":""RESET SHOTS"",""encoded_product_id"":""Dj3LAKPE"",""encoded_shop_id"":""zWVXpXXD"",""is_shopify_lite"":false,""product_url"":""/products/shots-reset"",""product_url_with_utm"":""https://www.cellpowerx.com/products/shots-reset?jdgm_referral_location=widget&ref=judge.me&utm_campaign=judgeme-review-site&utm_medium=referral&utm_source=judgeme"",""product_in_store"":true,""product_variant_title"":"""",""profile_img_idx"":4,""avatar_image_url"":null,""gravatar_hash"":null,""media_platform_hosted_video_infos"":[],""country_code_show_flag"":null,""pinned"":null,""in_a_group"":false,""shop_reply_name"":""CellPowerX"",""transparency_badges"":[""review_collected_via_store_invitation""],""language"":""en"",""is_for_product_from_group"":false,""product_variant_image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/Shots_Reset_3.4_ed542fa2-c64b-4738-a0ae-0e2c3e2794a4.webp?v=1759502997"",""is_for_product_from_bundle"":true}],""primary_language_pagination"":{""total_pages"":1,""current_page"":1,""per_page"":5},""other_language_reviews"":[],""other_language_pagination"":{""total_pages"":0,""current_page"":1,""per_page"":3},""reviews"":[]}",
METAFIELD,185837555941762,value,pt-PT,,,"{""number_of_reviews"":0,""average_rating"":""0.00"",""number_of_questions"":0,""product_name"":""RESHAPE Bundle + ACTYVA"",""product_external_id"":15195420459394,""image_url"":""https://cdn.shopify.com/s/files/1/0929/2408/4610/files/RESHAPE2.webp?v=1759334139"",""histogram"":[{""rating"":5,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":4,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":3,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":2,""frequency"":0,""percentage"":0,""extra_class"":null},{""rating"":1,""frequency"":0,""percentage"":0,""extra_class"":null}],""review_keywords"":null,""product_medals"":[],""custom_form_filters_and_averages"":null,""photo_gallery"":null,""review_summary_text"":""Be the first to write a review"",""ai_summary_text"":"""",""sort_key"":""created_at"",""multi_language_sorting_enabled"":true,""primary_language"":""en"",""primary_language_reviews"":[],""primary_language_pagination"":{""total_pages"":0,""current_page"":1,""per_page"":5},""other_language_reviews"":[],""other_language_pagination"":{""total_pages"":0,""current_page"":1,""per_page"":3},""reviews"":[]}",
METAFIELD,185837556007298,value,pt-PT,,,<div style='display:none' class='jdgm-prev-badge' data-average-rating='0.00' data-number-of-reviews='0' data-number-of-questions='0'> <span class='jdgm-prev-badge__stars' data-score='0.00' tabindex='0' aria-label='0.00 stars' role='button'> <span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span><span class='jdgm-star jdgm--off'></span> </span> <span class='jdgm-prev-badge__text'> No reviews </span> </div>,
